22.0531052105	1985	Nostoc sp
21.2531940895	1913	Cylindrospermopsis raciborskii
17.9091212088	1612	Microcystis aeruginosa
11.6542606377	1049	Planktothrix rubescens
5.85490501055	527	Oscillatoria sp
4.33285190534	390	Anabaena sp
4.27730252194	385	Cuspidothrix issatschenkoi
4.27730252194	385	Lyngbya majuscula
3.39962226419	306	Sphaerospermopsis torques-reginae
3.35518275747	302	Planktothrix agardhii
0.877680257749	79	Nodularia spumigena
0.744361737585	67	Raphidiopsis curvata
0.0111098766804	1	Not Name
