19.25	77	Cylindrospermopsis raciborskii
16.5	66	Nostoc sp
13.0	52	Microcystis aeruginosa
10.75	43	Planktothrix rubescens
10.5	42	Lyngbya majuscula
7.0	28	Anabaena sp
7.0	28	Planktothrix agardhii
6.5	26	Cuspidothrix issatschenkoi
6.0	24	Oscillatoria sp
2.0	8	Sphaerospermopsis torques-reginae
1.5	6	Nodularia spumigena
