23.7362373624	7912	Microcystis aeruginosa
16.7401674017	5580	Cylindrospermopsis raciborskii
13.6891368914	4563	Nostoc sp
13.1221312213	4374	Planktothrix rubescens
11.7691176912	3923	Oscillatoria sp
6.10506105061	2035	Lyngbya majuscula
6.08106081061	2027	Anabaena sp
2.58002580026	860	Cuspidothrix issatschenkoi
2.40002400024	800	Planktothrix agardhii
1.72501725017	575	Sphaerospermopsis torques-reginae
1.23001230012	410	Raphidiopsis curvata
0.813008130081	271	Nodularia spumigena
0.0090000900009	3	Aphanizomenon sp
